customer_id,first_name,last_name,email,city,state,region,signup_date,loyalty_tier
C00051,Anthony,Rogers,dramsey@example.org,South Brittanytown,CO,Northeast,2025-01-28,Bronze
C00052,Derek,Murray,greenmark@example.com,Matthewfurt,KY,Northeast,2025-01-06,Bronze
C00053,Johnny,Miller,currybrett@example.com,Lake Casey,SD,West,2021-10-10,Platinum
C00054,Karen,Herring,maryhowell@example.org,South Elizabeth,OK,South,2023-04-15,Bronze
C00055,Steven,Scott,gary91@example.org,Danieltown,ME,West,2026-04-30,Silver
C00056,Erica,Rubio,mdavid@example.org,North Heidi,ME,West,2022-06-18,Unassigned
C00057,Laura,Knight,reedross@example.com,New Deborahtown,PR,Northeast,2025-01-02,Silver
C00058,Lynn,Garcia,cynthia72@example.com,Lake Aimee,SD,South,2023-09-24,Gold
C00059,Christina,Gillespie,umarshall@example.net,Marcusbury,MP,Northeast,2022-03-03,Bronze
C00060,Joshua,Hayes,qhudson@example.com,Anthonymouth,HI,Northeast,2025-07-30,Silver
C00061,Jason,Salinas,joshua94@example.net,New Stacyland,IA,Northeast,2024-11-20,Silver
C00062,Tracy,Chang,fbrewer@example.com,North Kellyfurt,UT,Midwest,2023-07-02,Silver
C00063,Kevin,Perkins,wtran@example.com,Michaelmouth,KY,South,2024-01-15,Silver
C00064,John,Martinez,leslienewton@example.net,East Javier,NJ,West,2023-10-14,Bronze
C00065,Jenny,Bray,tina34@example.org,Harrytown,VT,West,2025-12-22,Bronze
C00066,David,Williams,tranheidi@example.org,Garciatown,OK,South,2023-11-07,Bronze
C00067,Taylor,Alexander,tammyking@example.com,Port Cameronfort,CA,Northeast,2026-05-04,Bronze
C00068,Crystal,Brown,lisaavery@example.org,North Angela,MT,Midwest,2023-05-09,Silver
C00069,Kimberly,James,levans@example.com,Ashleyton,RI,Northeast,2022-04-11,Platinum
C00070,Stacey,Clark,josephmiller@example.org,New Charles,AL,Northeast,2024-11-27,Bronze
C00071,Shannon,Wheeler,antonio44@example.net,Jonesbury,KS,Northeast,2023-02-11,Bronze
C00072,Ronald,Stephens,rebekahserrano@example.org,East Laurashire,PW,South,2023-11-20,Silver
C00073,Scott,Harrison,holly48@example.net,Kimton,FM,Midwest,2025-02-08,Platinum
C00074,Jessica,Munoz,davissuzanne@example.net,Port Emilyview,OK,Northeast,2021-10-09,Bronze
C00075,Kathryn,Thompson,lmoon@example.net,Waltersfort,CO,Northeast,2025-06-06,Unassigned
C00076,Michael,Cook,hodgemark@example.net,Robertsfurt,GU,South,2026-02-10,Bronze
C00077,Benjamin,Miller,marcus68@example.org,Gutierrezborough,NC,Northeast,2024-07-05,Silver
C00078,Cindy,Jimenez,nwolf@example.com,West Samuel,UT,South,2025-07-21,Silver
C00079,David,Dudley,jennifercollins@example.org,Davisville,NH,South,2022-06-06,Gold
C00080,Deborah,Moore,william46@example.com,Sanchezside,FL,Northeast,2024-09-10,Bronze
C00081,James,Greene,michellehill@example.com,Sarahhaven,KY,Northeast,2021-06-14,Gold
C00082,Justin,Evans,cgrimes@example.net,Reedside,WV,South,2026-01-20,Bronze
C00083,Nicholas,Cantu,tinaallen@example.com,Port Kimberly,AZ,South,2024-02-20,Platinum
C00084,Julie,Thornton,qhughes@example.net,South Tammie,DC,West,2025-09-14,Gold
C00085,Tammy,Rivera,sawyerscott@example.net,Smithberg,MT,Midwest,2022-09-29,Bronze
C00086,Charles,Harrington,matthew61@example.com,Finleyfort,VI,Northeast,2026-01-12,Gold
C00087,Barry,Jones,wendy16@example.org,South Garrettport,MH,West,2021-09-04,Gold
C00088,Brandon,Flynn,missing_email@example.com,Michaelchester,FL,South,2023-07-05,Bronze
C00089,Amanda,Knight,georgemiller@example.com,South Roberta,FL,Northeast,2023-05-29,Silver
C00090,Steven,King,elizabeth74@example.net,North Scott,MI,West,2023-12-23,Bronze
C00091,Danielle,Coleman,stephen43@example.com,Rodriguezfurt,OK,Northeast,2024-06-26,Bronze
C00092,Bailey,Haney,andrew64@example.org,New Julieport,WI,Midwest,2023-05-22,Bronze
C00093,Catherine,Gomez,christinebyrd@example.net,Lake Colton,SC,Midwest,2021-10-07,Bronze
C00094,Kyle,Alexander,jessica14@example.com,Thompsonberg,WY,South,2026-01-07,Bronze
C00095,Nancy,Diaz,maria47@example.com,Lindamouth,CA,South,2022-08-18,Platinum
C00096,Karen,Perez,zcoffey@example.net,Christopherfurt,AL,Midwest,2023-09-06,Platinum
C00097,Amanda,Gibson,brenda51@example.net,South Angel,FM,Midwest,2026-03-17,Silver
C00098,Mark,Bishop,reidsteven@example.net,Debraville,DC,South,2021-10-25,Bronze
C00099,Sophia,Torres,pwilson@example.net,South Shawn,TN,South,2026-01-10,Silver
C00100,Robert,Newton,nicolepena@example.com,Crosbyview,AZ,Northeast,2024-08-01,Gold
C00101,Jeff,Wallace,melissagarcia@example.net,Amystad,AR,Midwest,2024-10-25,Bronze
C00102,Joshua,Donaldson,ndavis@example.net,North Kristinbury,DC,West,2026-03-27,Silver
C00103,Jamie,Gallegos,brendali@example.org,Kimtown,KY,Northeast,2022-08-30,Silver
C00104,Vanessa,Fernandez,danieldelacruz@example.org,West Kristybury,OR,Northeast,2024-03-08,Silver
C00105,Alfred,Baker,judyfox@example.net,South Shanestad,NY,South,2022-05-11,Bronze
C00106,Shannon,Walker,acostaregina@example.net,Stephentown,AR,West,2025-07-04,Bronze
C00107,Melanie,Simmons,henryrenee@example.org,West Charleneland,DC,South,2023-10-09,Bronze
C00108,Claudia,Richards,oscar98@example.com,Wagnerchester,CT,South,2022-05-28,Gold
C00109,Melissa,Curtis,russellbeasley@example.com,Mariafurt,MT,South,2022-03-29,Silver
C00110,Larry,Edwards,nicholas27@example.org,Port Christopherchester,CT,Northeast,2024-08-07,Bronze
C00111,Lisa,Hawkins,elizabeth65@example.net,Parrishton,LA,South,2024-02-02,Unassigned
C00112,Michael,Lane,ericolson@example.org,Meganstad,DE,Midwest,2023-10-20,Silver
C00113,Audrey,Aguirre,lynchdiane@example.net,Anthonyview,UT,West,2024-01-22,Gold
C00114,Sandra,Bell,mollyknight@example.com,East Joycetown,CO,West,2025-12-11,Gold
C00115,Jason,Barnes,eric45@example.net,North Ericton,TX,Midwest,2022-02-15,Silver
C00116,Joseph,Stanley,alawson@example.com,Port William,MI,Midwest,2025-02-01,Bronze
C00117,Daniel,Gregory,trose@example.org,South Tracey,AR,Midwest,2021-06-30,Bronze
C00118,James,Dougherty,kathrynroberts@example.org,South Julieburgh,DC,South,2024-08-31,Bronze
C00119,Amanda,Hall,charles06@example.org,Morsemouth,OK,West,2025-01-30,Bronze
C00120,Ashley,Mckinney,zroberts@example.org,Georgemouth,MP,South,2024-07-05,Gold
C00121,Christopher,Richard,ryanmorales@example.org,Harrellmouth,IN,Northeast,2024-04-06,Bronze
C00122,Kimberly,Jones,schmidtjames@example.com,Jessicaberg,IA,Northeast,2022-04-22,Bronze
C00123,Dwayne,Gonzalez,kathleenrios@example.org,Marshallshire,WV,West,2025-04-01,Gold
C00124,Erin,Macias,michelle52@example.com,South Scottport,WY,South,2023-10-08,Silver
C00125,Brittany,Bell,collinsshannon@example.org,Marieland,SD,West,2022-03-14,Bronze
C00126,Christina,Hunter,ycarpenter@example.net,South Reginashire,SD,South,2023-01-12,Unassigned
C00127,Marc,Alvarez,susanhayes@example.com,New Debbieton,IA,Northeast,2025-02-26,Silver
C00128,Vickie,Warren,michaelhardin@example.com,Schroederton,WY,Northeast,2024-04-11,Bronze
C00129,Cameron,Davis,umitchell@example.net,West Christopher,TN,Northeast,2022-08-20,Bronze
C00130,Sabrina,Collins,tanderson@example.org,Angelicamouth,GU,Midwest,2022-07-09,Silver
C00131,Elizabeth,Calderon,lucasrodney@example.com,West Kyleborough,MA,West,2025-07-26,Silver
C00132,James,Cooke,chrisrichard@example.org,Lake Matthewberg,PA,Northeast,2024-08-20,Silver
C00133,Eric,White,jenniferwilliams@example.com,South Cheryl,WV,Northeast,2025-04-01,Bronze
C00134,Jesus,Allen,mmckee@example.com,Murrayport,WI,Northeast,2024-09-05,Bronze
C00135,Wesley,Barnes,lisasolis@example.org,Brettfort,VI,Northeast,2024-08-03,Silver
C00136,Angela,Garcia,mitchellkathryn@example.com,Whiteheadberg,MP,Midwest,2025-02-25,Silver
C00137,Christopher,Lozano,bwilkerson@example.com,South Waynebury,MS,Northeast,2022-02-15,Bronze
C00138,Nicholas,Johnson,combsdebra@example.org,North Justin,MP,Northeast,2025-06-13,Platinum
C00139,Heather,Taylor,awest@example.org,West Jasonberg,OH,West,2025-12-02,Bronze
C00140,Rodney,Parsons,kevinwilliams@example.com,Brownfort,PA,South,2025-12-28,Gold
C00141,Allen,Robertson,jennifercarter@example.org,Johnchester,HI,Northeast,2022-02-27,Bronze
C00142,Alexandra,Ward,myerstheodore@example.net,Zavalaview,WA,West,2021-07-27,Bronze
C00143,Michael,Jones,jessicafuller@example.net,Dennisstad,ND,West,2024-04-23,Silver
C00144,Lisa,Thompson,epollard@example.net,Port Dennis,VT,West,2025-04-28,Silver
C00145,Benjamin,Harris,ninastewart@example.com,Haysside,NJ,Midwest,2023-08-03,Gold
C00146,Benjamin,Lucas,michael05@example.com,Port Michealfurt,WA,West,2025-03-04,Bronze
C00147,Patricia,Hughes,tylerjimenez@example.net,Lauriechester,CO,South,2025-02-03,Bronze
C00148,Carrie,Short,manuel15@example.net,Kirkchester,GA,West,2025-03-17,Bronze
C00149,Michael,Williams,christina64@example.net,North Emilyfurt,MN,West,2025-10-18,Bronze
C00150,Laurie,Shelton,thomascathy@example.com,East Carlosstad,MN,Midwest,2024-09-08,Silver
C00151,Stacy,Johnson,erikarush@example.com,Hinesshire,DC,Midwest,2025-12-07,Bronze
C00152,Michael,Edwards,john10@example.net,South April,PW,South,2026-03-18,Silver
C00153,David,Hampton,nlewis@example.com,Gonzalezberg,PR,West,2022-01-23,Gold
C00154,Shannon,Roach,zosborn@example.net,Elizabethland,OH,Northeast,2026-01-16,Bronze
C00155,Kelly,Evans,jenniferho@example.net,Port Michael,IN,Midwest,2022-06-19,Bronze
C00156,Tracie,Conner,kristyjohnson@example.net,Tannerside,DC,Midwest,2022-03-01,Bronze
C00157,Cameron,Sanders,xfox@example.com,East Teresaland,NV,South,2025-05-24,Bronze
C00158,Erin,Cooper,katrinaanderson@example.net,Port Davidberg,ME,South,2022-10-31,Bronze
C00159,Fernando,Donovan,michaeleverett@example.com,West Jamesside,KY,Midwest,2022-06-30,Bronze
C00160,Colleen,Mendez,shawgary@example.net,East Donna,VA,Midwest,2024-04-20,Bronze
C00161,Megan,Elliott,millerstacy@example.net,Debrashire,MT,Northeast,2021-09-09,Silver
C00162,Tyler,Burton,dawn47@example.org,Evansland,UT,South,2021-12-10,Bronze
C00163,Eric,Perry,mharris@example.org,Michellemouth,VA,Northeast,2024-05-15,Bronze
C00164,Theresa,Anderson,zachary15@example.org,Martinezmouth,IA,South,2022-08-18,Gold
C00165,Colin,Roberts,alin@example.org,Port Mark,OK,Northeast,2024-02-03,Bronze
C00166,James,Moore,tjimenez@example.com,North Sierrahaven,NH,Northeast,2023-06-24,Platinum
C00167,Jason,Gomez,campbellcarla@example.net,Mitchelltown,PR,Northeast,2022-05-06,Silver
C00168,Ryan,Khan,kathryn50@example.com,New Annastad,OH,South,2023-11-20,Platinum
C00169,Charles,Gordon,marcia99@example.org,North Phillip,WY,Midwest,2024-04-25,Bronze
C00170,Angela,Diaz,jameshicks@example.net,North Benjaminmouth,AS,Northeast,2025-06-17,Platinum
C00171,April,Hernandez,markaustin@example.org,Ewingport,OR,South,2024-04-17,Bronze
C00172,William,Hicks,terickson@example.com,West Markville,MT,South,2024-01-18,Bronze
C00173,Laura,Swanson,carlsonjoseph@example.net,Lake Brett,NJ,West,2022-11-18,Silver
C00174,Alexandria,Griffith,rhernandez@example.org,New Stacyville,ID,West,2021-08-04,Bronze
C00175,Scott,Barnes,avaughn@example.net,Salaston,VT,South,2022-08-10,Silver
C00176,April,Hoffman,ufox@example.org,Barrmouth,ND,Midwest,2024-06-11,Gold
C00177,Erica,Dillon,chelsea33@example.com,Jeffreyport,WI,Midwest,2023-11-21,Bronze
C00178,Janet,Vaughn,wstewart@example.net,Keithshire,TX,West,2026-01-19,Silver
C00179,Noah,Baird,stephanie24@example.org,Stephanieland,MI,Northeast,2025-03-12,Silver
C00180,Diana,Burgess,missing_email@example.com,East Maria,KY,Midwest,2026-03-19,Silver
C00181,Heather,Taylor,johnsantiago@example.net,Lake Jesse,CT,Northeast,2024-12-12,Bronze
C00182,Mark,Kennedy,adampierce@example.org,Delgadofort,NJ,Northeast,2023-02-16,Silver
C00183,Katelyn,Mitchell,debbie19@example.org,East Robertburgh,PW,West,2021-09-27,Silver
C00184,Wendy,Sanders,vlopez@example.com,North Kennethville,MA,West,2023-11-08,Bronze
C00185,Shawn,Davidson,ismall@example.net,Nelsonville,MA,Midwest,2022-10-24,Bronze
C00186,Jessica,Wong,alexisrogers@example.com,East Cheryl,SC,West,2024-11-17,Gold
C00187,Margaret,Robertson,moralescody@example.org,Morrisbury,AL,Northeast,2023-08-26,Bronze
C00188,Patrick,Griffin,stephanie49@example.net,West Desireebury,AR,West,2022-06-09,Bronze
C00189,Steven,Moore,hannah45@example.net,East Susan,NJ,West,2022-09-25,Bronze
C00190,Spencer,Zhang,robert87@example.net,Port John,WV,West,2022-02-16,Bronze
C00191,Alicia,Rice,christian91@example.org,New Amanda,GA,South,2024-03-22,Silver
C00192,Melissa,Ramos,missing_email@example.com,Lake Brandy,CO,Northeast,2025-10-09,Gold
C00193,Sean,Brown,williambryant@example.org,Chambersport,VA,South,2021-08-13,Bronze
C00194,Randy,Velasquez,bethwilliams@example.com,New Virginialand,NJ,Northeast,2021-09-13,Silver
C00195,Justin,White,katiegood@example.net,Brooksfurt,NV,Midwest,2024-08-22,Gold
C00196,Nicholas,Vega,desireebailey@example.org,Ricebury,MP,West,2021-06-17,Bronze
C00197,Katelyn,Good,inunez@example.com,Morrowbury,NH,South,2024-05-17,Gold
C00198,Eric,Lopez,johnsondonna@example.net,East Jamieville,PA,West,2021-09-19,Bronze
C00199,Sean,Powers,sanchezbradley@example.com,New Jeff,VI,Northeast,2021-11-29,Silver
C00200,Donald,Holder,lisadennis@example.com,Joelberg,TN,West,2025-11-12,Silver
C00201,Jeffrey,Turner,hawkinsbrittany@example.net,Lake Erika,OH,Midwest,2025-08-24,Bronze
C00202,Brandon,Cooper,ufloyd@example.net,Russellport,MS,Midwest,2022-12-30,Bronze
C00203,Karen,Wells,kevinzimmerman@example.com,New Robertchester,OH,West,2025-12-09,Bronze
C00204,Dennis,Sanchez,markmiller@example.com,Christopherborough,AR,West,2023-09-19,Bronze
C00205,Nicholas,Jacobs,russojacob@example.net,South Jason,PW,South,2024-04-06,Unassigned
C00206,Kevin,Stout,sharonhayden@example.org,Rochaborough,MO,Midwest,2023-06-20,Bronze
C00207,Andrea,Rowe,missing_email@example.com,Owensstad,ME,West,2023-08-28,Gold
C00208,Michael,Andrade,ugarcia@example.com,Robinstad,MD,South,2024-12-14,Bronze
C00209,Brandon,Shields,allentran@example.net,Phillipsborough,MA,West,2023-05-22,Gold
C00210,Noah,Whitaker,rpierce@example.com,Kathrynfort,VA,West,2025-08-09,Gold
C00211,Steven,Oconnor,gary87@example.org,New Arthurland,GU,West,2021-11-04,Bronze
C00212,Kathy,Gutierrez,carloshernandez@example.org,Brooksfort,TN,Midwest,2025-07-31,Bronze
C00213,Alfred,Patel,hsmith@example.net,Amandaport,AK,Northeast,2025-09-14,Bronze
C00214,Lisa,Craig,danieldavis@example.org,East Christine,KS,South,2024-06-12,Bronze
C00215,Joseph,Sanders,susan79@example.org,West Gabriella,PR,Northeast,2022-02-12,Bronze
C00216,Desiree,Garrison,davisnicholas@example.net,Browntown,UT,West,2022-11-21,Bronze
C00217,Christopher,Bruce,ariel18@example.org,East Rachel,UT,Northeast,2026-04-02,Silver
C00218,Thomas,Williams,cohenjuan@example.net,East Sarahmouth,AK,West,2023-03-12,Bronze
C00219,Brenda,Goodwin,thickman@example.org,New Mary,MS,Midwest,2026-01-11,Gold
C00220,Martin,Campos,krystalnorris@example.org,Brianchester,IN,West,2022-01-29,Bronze
C00221,Matthew,Mack,unovak@example.org,Kristenmouth,NM,West,2023-05-16,Bronze
C00222,Michael,Pugh,llopez@example.net,Millerport,AS,West,2023-07-12,Bronze
C00223,Jennifer,Miller,normanbowers@example.org,Stewartville,CO,West,2021-06-23,Silver
C00224,Sherry,Wallace,curtis12@example.com,Hawkinshaven,MT,Midwest,2022-04-23,Unassigned
C00225,Anthony,Gomez,carlsonkristen@example.com,West Robertland,VA,West,2026-03-11,Silver
C00226,Rebecca,Spence,ginajackson@example.com,Josephberg,CA,Northeast,2022-11-08,Gold
C00227,Ryan,Fisher,xpatton@example.com,Lake Colleen,PA,Midwest,2023-02-04,Gold
C00228,Stephen,Taylor,rushmartin@example.net,Brockmouth,NV,South,2024-04-11,Silver
C00229,Ryan,Colon,kevinmorrison@example.net,South Leon,MO,South,2024-02-23,Silver
C00230,Kelly,Neal,yfaulkner@example.org,Nicholasfurt,MN,Midwest,2022-05-26,Silver
C00231,Sarah,Gonzalez,erinpierce@example.net,Hahnborough,NV,Northeast,2023-11-29,Bronze
C00232,Marie,Jones,ichambers@example.net,Johnberg,VT,South,2025-01-11,Unassigned
C00233,Kristina,Jones,iaguilar@example.net,Stephensstad,UT,Midwest,2025-12-31,Gold
C00234,Brittney,Rocha,mackdiane@example.com,Lake Cheyenne,OK,West,2024-10-30,Gold
C00235,Tammy,Rivera,grodriguez@example.com,New Julie,OH,Northeast,2026-04-29,Gold
C00236,Jeffrey,Brooks,lbarton@example.net,West Whitney,NJ,West,2022-04-27,Bronze
C00237,Kenneth,Knapp,missing_email@example.com,North Marieberg,MI,West,2024-02-01,Bronze
C00238,Matthew,Mueller,gbailey@example.com,Floresport,AZ,Midwest,2022-05-30,Platinum
C00239,Andrew,Cooper,byrdfrank@example.net,New Greg,GA,Northeast,2024-03-31,Silver
C00240,Anita,Mullen,laurensoto@example.org,Fosterborough,NV,Midwest,2025-01-31,Bronze
C00241,Paul,Bush,joshuapadilla@example.org,Port Monicaburgh,MN,West,2024-03-15,Bronze
C00242,James,Wilson,orose@example.com,Carrshire,DE,South,2024-05-22,Bronze
C00243,Michael,Ellis,lisamccarthy@example.com,Lake Dennisville,IA,South,2024-01-11,Bronze
C00244,Daryl,Brooks,williambarnes@example.org,Hendersonfort,SC,West,2026-01-01,Gold
C00245,Heather,Brewer,angelaburns@example.org,West Megan,RI,Northeast,2021-11-20,Platinum
C00246,Michelle,Crane,missing_email@example.com,Taylorfurt,OH,Midwest,2025-09-24,Bronze
C00247,Denise,Ortiz,cperry@example.com,North Ariana,WY,South,2023-04-23,Bronze
C00248,Kelly,Hill,gary79@example.net,Dunnville,OK,Midwest,2022-05-27,Unassigned
C00249,Joseph,Daniels,amber07@example.net,South Curtis,MP,West,2023-07-16,Silver
C00250,Kenneth,Kidd,fbaker@example.com,Port Lisaborough,AS,Northeast,2024-05-31,Unassigned
C00251,Michelle,Bishop,imartin@example.org,Port Brian,MI,South,2025-12-16,Bronze
C00252,Juan,Ryan,tiffany44@example.net,Stephaniehaven,MH,South,2022-03-29,Gold
C00253,Derek,Brady,rsellers@example.net,Lake Michelle,IA,Northeast,2022-09-04,Unassigned
C00254,Jennifer,Poole,kburns@example.net,Courtneyfurt,NV,Midwest,2022-01-27,Bronze
C00255,Cynthia,Beard,powellkara@example.net,Shawnfort,MD,Midwest,2021-06-14,Bronze
C00256,Misty,Boone,simonstephen@example.net,Melissaside,MO,South,2023-04-14,Bronze
C00257,Tammy,Summers,sadams@example.com,New Melissa,WY,Northeast,2024-05-09,Gold
C00258,Patricia,Farmer,garciakristen@example.com,North Sarahburgh,NV,Northeast,2025-04-25,Silver
C00259,Aaron,Rubio,wendyblankenship@example.net,Erikview,CO,Midwest,2024-06-30,Bronze
C00260,John,Watson,brettgarrett@example.net,South Diana,VT,West,2022-03-29,Bronze
C00261,Aaron,Woods,brittneystone@example.com,North Heatherville,VI,West,2025-01-09,Bronze
C00262,Heather,Woods,patrickcross@example.org,West Michaelport,DC,South,2024-09-08,Silver
C00263,Kiara,Mullins,darlenebyrd@example.org,New Debramouth,MI,Midwest,2023-03-30,Bronze
C00264,Courtney,Hernandez,cjensen@example.org,North Donaldville,OR,West,2024-09-12,Gold
C00265,Michael,Jordan,johnnewman@example.org,Kimberlytown,PR,South,2023-12-31,Bronze
C00266,Jamie,Lawson,juliephillips@example.org,South Paul,IA,West,2025-09-06,Bronze
C00267,Danielle,Jones,hatfieldsarah@example.org,Valenciashire,MT,Midwest,2024-07-16,Bronze
C00268,Amy,Thompson,xbest@example.org,New Carlosview,IL,West,2021-10-08,Bronze
C00269,Sandra,Fry,ohunter@example.net,Hendersonfurt,CO,Northeast,2025-12-30,Bronze
C00270,Amanda,Hernandez,collinswilliam@example.org,New Mark,OR,Northeast,2021-12-29,Bronze
C00271,Kyle,Kim,brianmiller@example.com,South Cherylton,ME,Northeast,2022-12-04,Platinum
C00272,David,Zimmerman,martinstephanie@example.net,Garyberg,WA,West,2023-09-20,Unassigned
C00273,Jessica,Wilson,rogersruben@example.net,West Jennifershire,SC,Midwest,2022-02-01,Bronze
C00274,Tyler,Dixon,porterashley@example.com,West Kerri,MH,West,2026-04-25,Bronze
C00275,Emily,Wilson,williamsmichelle@example.org,South Michaelberg,HI,Midwest,2021-09-24,Gold
C00276,Angela,Sloan,pwalker@example.com,Josephland,OK,Northeast,2024-08-08,Silver
C00277,David,Nunez,whitelinda@example.org,Jonesmouth,VI,Northeast,2023-11-01,Bronze
C00278,Kiara,Collins,tranalan@example.org,Anneport,WA,Midwest,2023-06-30,Bronze
C00279,Steven,Vargas,xcuevas@example.org,East Adam,MT,West,2021-08-20,Unassigned
C00280,Jesse,Reed,tapiaaaron@example.net,Sweeneyport,CT,Northeast,2023-03-06,Bronze
C00281,Alyssa,Allen,jwoodward@example.net,Christopherbury,MH,Midwest,2025-11-07,Bronze
C00282,Robert,Huang,fvillegas@example.net,New Dennisfurt,CA,Northeast,2026-04-06,Silver
C00283,Bryan,Bates,joelgreen@example.com,Haynesmouth,MD,Northeast,2025-04-13,Silver
C00284,Joseph,Jones,derekcarrillo@example.org,North Frank,NH,West,2024-02-07,Bronze
C00285,Richard,Herrera,shannonford@example.org,East Lindseyport,GU,Northeast,2021-10-10,Silver
C00286,Jason,Gates,christopherwright@example.com,Palmerport,KS,Midwest,2022-11-29,Silver
C00287,Anthony,Sullivan,jhawkins@example.org,South Curtisberg,DE,Northeast,2021-07-14,Gold
C00288,Bryan,Norman,davidcolon@example.com,New Brendaland,AK,Midwest,2021-12-24,Silver
C00289,James,Brewer,christopherboone@example.com,North Sheriton,GA,South,2026-04-24,Bronze
